PO#,Amount Paid,Payment Reference,Payment Date,Payment Amount,Payment Type,Discount Percent Limit
PO000091660263,-265.2,959889,"Apr 11, 2022","1,944.03",ACH,
PO000091807490,390.24,,,,,
PO000091807779,259.9,,,,,
PO000091807888,390.24,,,,,
PO000091809318,259.9,,,,,
PO000091809362,390.24,,,,,
PO000091812122,518.71,,,,,
