PO#,Amount Paid,Payment Reference,Payment Date,Payment Amount,Payment Type,Discount Percent Limit
PO000091533380,390.24,952428,"Mar 14, 2022","4,247.03",ACH,
PO000091536583,518.71,,,,,
PO000091543921,259.9,,,,,
PO000091546041,259.9,,,,,
PO000091546908,305.46,,,,,
PO000091547500,305.46,,,,,
PO000091547825,259.9,,,,,
PO000091551526,390.24,,,,,
PO000091551616,259.9,,,,,
PO000091553939,259.9,,,,,
PO000091552003,518.71,,,,,
PO000091558075,518.71,,,,,
