Credit Memo,Credit Internal,Invoice Number,Applied Invoice,Invoice Application,Credit Amount,External ID
CM40559199,2324010.0,I260702483,2931735,408.1300000000001,708.27,CAACH940195
CM40559811,3263953.0,I260702539,2940637,330.76,529.3,CAACH940195
